,order_id,product_id,add_to_cart_order,reordered
83830,8938,49235,1,1
83831,8938,13032,2,1
83832,8938,26348,3,1
83833,8938,5028,4,1
83834,8938,15680,5,1
83835,8938,37710,6,1
83836,8938,9007,7,0
333401,35204,8859,1,1
333402,35204,33000,2,0
333403,35204,651,3,1
333404,35204,5161,4,1
345763,36495,8277,1,1
345764,36495,24852,2,1
345765,36495,12341,3,1
345766,36495,35851,4,1
345767,36495,17183,5,1
345768,36495,48726,6,1
345769,36495,27344,7,1
345770,36495,23054,8,0
345771,36495,5785,9,1
345772,36495,34050,10,1
345773,36495,18353,11,0
345774,36495,17878,12,1
345775,36495,42139,13,1
381050,40262,8402,1,1
381051,40262,37578,2,0
381052,40262,30558,3,1
381053,40262,30406,4,0
381054,40262,6087,5,0
381055,40262,30407,6,0
517067,54652,21591,1,0
517068,54652,8242,2,0
517069,54652,29529,3,0
517070,54652,42834,4,1
517071,54652,27325,5,0
517072,54652,32175,6,0
517073,54652,41406,7,0
517074,54652,4047,8,1
546033,57803,23662,1,0
546034,57803,46804,2,0
546035,57803,19887,3,0
546036,57803,33000,4,0
546037,57803,34551,5,0
546038,57803,35263,6,0
546039,57803,6324,7,0
546040,57803,41483,8,0
546041,57803,37291,9,0
562872,59551,25877,1,0
562873,59551,44142,2,1
562874,59551,14994,3,0
562875,59551,21781,4,1
562876,59551,47626,5,1
562877,59551,23339,6,0
562878,59551,31562,7,1
562879,59551,38797,8,1
562880,59551,48423,9,0
562881,59551,11198,10,0
562882,59551,29744,11,1
562883,59551,41259,12,0
562884,59551,20114,13,0
562885,59551,36180,14,1
562886,59551,11408,15,1
597855,63222,17183,1,1
597856,63222,22151,2,1
597857,63222,44786,3,1
597858,63222,35851,4,1
597859,63222,13269,5,1
597860,63222,29328,6,1
597861,63222,24852,7,1
597862,63222,46906,8,1
597863,63222,5785,9,1
897686,94907,42972,1,1
897687,94907,47977,2,1
897688,94907,35914,3,1
897689,94907,44855,4,1
897690,94907,22275,5,0
897691,94907,21125,6,0
897692,94907,7693,7,0
904547,95582,9075,1,1
904548,95582,24852,2,1
904549,95582,34165,3,1
904550,95582,24454,4,0
904551,95582,27903,5,0
904552,95582,1940,6,1
904553,95582,1204,7,1
904554,95582,16293,8,0
904555,95582,25368,9,1
904556,95582,32265,10,0
946643,100031,33000,1,1
946644,100031,651,2,1
946645,100031,21385,3,1
1001852,105823,24852,1,1
1001853,105823,8277,2,1
1001854,105823,14917,3,1
1001855,105823,17878,4,1
1001856,105823,17183,5,1
1001857,105823,35851,6,1
1001858,105823,28199,7,0
1001859,105823,43122,8,1
1001860,105823,27966,9,1
1001861,105823,9426,10,0
1001862,105823,45774,11,0
1214345,128124,17183,1,1
1214346,128124,24852,2,1
1214347,128124,19706,3,1
1214348,128124,30142,4,1
1214349,128124,8277,5,1
1214350,128124,12341,6,1
1214351,128124,2716,7,1
1214352,128124,5785,8,1
1214353,128124,48726,9,1
1214354,128124,36342,10,1
1214355,128124,39861,11,0
1214356,128124,36205,12,1
1214357,128124,34137,13,1
1222557,129018,24521,1,0
1222558,129018,41950,2,1
1222559,129018,5876,3,1
1222560,129018,28601,4,0
1222561,129018,4605,5,0
1222562,129018,19678,6,0
1222563,129018,4162,7,1
1222564,129018,39504,8,0
1222565,129018,19559,9,0
1222566,129018,33195,10,0
1224333,129196,13176,1,1
1224334,129196,25017,2,1
1224335,129196,33303,3,1
1260794,132974,24492,1,1
1260795,132974,7350,2,0
1260796,132974,28849,3,0
1260797,132974,3376,4,1
1260798,132974,26209,5,0
1260799,132974,26369,6,1
1260800,132974,8518,7,1
1260801,132974,47209,8,0
1260802,132974,13984,9,1
1260803,132974,30391,10,1
1260804,132974,8866,11,1
1260805,132974,48109,12,1
1293519,136453,33894,1,1
1293520,136453,30511,2,1
1293521,136453,31639,3,0
1293522,136453,42275,4,0
1293523,136453,4047,5,0
1465353,154497,7693,1,1
1465354,154497,47977,2,1
1465355,154497,13230,3,1
1465356,154497,35914,4,1
1465357,154497,42972,5,1
1465358,154497,21125,6,1
1465359,154497,44855,7,1
1465360,154497,13176,8,0
1557961,164229,43744,1,1
1557962,164229,49235,2,1
1557963,164229,26348,3,1
1557964,164229,31759,4,0
1557965,164229,37710,5,1
1557966,164229,46061,6,1
1656700,174676,31759,1,0
1656701,174676,4724,2,0
1656702,174676,21903,3,0
1656703,174676,26348,4,0
1656704,174676,15541,5,0
1656705,174676,34343,6,0
1656706,174676,130,7,0
1656707,174676,30558,8,0
1941360,204725,32923,1,0
1941361,204725,10606,2,0
2254230,237760,8277,1,1
2254231,237760,24852,2,1
2254232,237760,17183,3,1
2254233,237760,35851,4,1
2254234,237760,17878,5,1
2254235,237760,12341,6,1
2254236,237760,43122,7,1
