,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
30650,3308693,1886,prior,1,4,8,
30651,1019221,1886,prior,2,3,8,6.0
30652,3410026,1886,prior,3,3,10,7.0
30653,2727369,1886,prior,4,1,8,5.0
30654,94907,1886,prior,5,1,16,7.0
30655,3085430,1886,prior,6,1,9,7.0
30656,1463979,1886,prior,7,1,9,7.0
30657,1022421,1886,prior,8,4,16,3.0
30658,154497,1886,prior,9,4,13,7.0
30659,1953228,1886,prior,10,4,14,21.0
30660,2503547,1886,prior,11,4,11,7.0
30661,3039204,1886,prior,12,5,9,8.0
30662,2980434,1886,prior,13,1,11,10.0
30663,1479036,1886,prior,14,1,8,7.0
30664,1140541,1886,prior,15,3,10,2.0
30665,3402860,1886,prior,16,1,8,5.0
30666,1575156,1886,prior,17,4,14,3.0
30667,2464687,1886,prior,18,2,14,5.0
30668,2768207,1886,prior,19,4,13,2.0
30669,3207295,1886,prior,20,2,8,5.0
30670,770267,1886,prior,21,1,11,13.0
30671,792657,1886,prior,22,2,11,1.0
30672,3098720,1886,prior,23,2,9,7.0
30673,2697545,1886,prior,24,3,8,1.0
30674,1988333,1886,prior,25,4,8,15.0
30675,2721182,1886,prior,26,4,8,14.0
30676,2490147,1886,train,27,3,13,30.0
90563,1011779,5485,prior,1,3,18,
90564,333779,5485,prior,2,4,9,30.0
90565,2076621,5485,prior,3,1,12,30.0
90566,420648,5485,prior,4,3,18,9.0
90567,2038243,5485,prior,5,0,12,11.0
90568,1968246,5485,prior,6,3,9,10.0
90569,1282427,5485,prior,7,0,11,11.0
90570,1373808,5485,prior,8,3,11,17.0
90571,1732888,5485,prior,9,4,12,29.0
90572,132974,5485,prior,10,0,12,17.0
90573,454511,5485,prior,11,6,17,6.0
90574,2059525,5485,prior,12,6,17,14.0
90575,2858907,5485,prior,13,2,14,17.0
90576,1047977,5485,prior,14,1,17,20.0
90577,129018,5485,prior,15,4,10,10.0
90578,1538279,5485,prior,16,3,14,13.0
90579,1198625,5485,train,17,5,15,2.0
527909,954780,31817,prior,1,3,11,
527910,2020198,31817,prior,2,3,18,28.0
527911,281802,31817,prior,3,2,13,13.0
527912,3185872,31817,prior,4,5,15,30.0
527913,675709,31817,train,5,4,9,30.0
1111136,274046,66852,prior,1,4,16,
1111137,1347168,66852,prior,2,0,11,30.0
1111138,1150031,66852,prior,3,4,22,11.0
1111139,3007090,66852,prior,4,6,17,30.0
1111140,3140182,66852,prior,5,6,12,7.0
1111141,623931,66852,prior,6,1,15,16.0
1111142,266076,66852,prior,7,0,13,30.0
1111143,59551,66852,prior,8,1,14,1.0
1111144,1421453,66852,test,9,2,16,1.0
1755142,1748765,105334,prior,1,0,14,
1755143,2921144,105334,prior,2,2,9,16.0
1755144,1688830,105334,prior,3,2,18,0.0
